,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Italy,Italy,GPE,-0.01907711,0.65426757,en,97.60000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Calabria,Calabria,GPE,-0.36148428,0.66825996,en,63.50000000,4103588-4,2523630,P,38.11047000,15.66129000,EUROPE-AFRICA,Italy,MED
Sardinia,Sardinia,GPE,-0.28528857,0.50081038,en,45.90000000,1246547562,2523227,T,40.00000000,9.00000000,EUROPE-AFRICA,Italy,MED
Sicily,Sicily,GPE,-0.27925901,0.62215343,en,45.10000000,4055193-3,2523118,T,37.62304000,13.93457000,EUROPE-AFRICA,Italy,MED
South,South,LOC,-0.06232946,0.72823200,en,23.10000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
Piedmont,Piedmont,GPE,0.04545386,0.42518155,en,18.50000000,,5382514,P,37.82437000,-122.23163000,NORTH-AMERICA,United States,WNA
Puglia,Puglia,GPE,-0.18804143,0.51817326,en,17.70000000,4085139-4,3180792,P,41.21954000,16.06768000,EUROPE-AFRICA,Italy,MED
Abruzzo,Abruzzo,LOC,0.05005593,0.64291041,en,14.90000000,126262-2,3183560,A,42.25000000,13.75000000,EUROPE-AFRICA,Italy,MED
Milan,Milan,GPE,0.05445567,0.49776091,en,13.30000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
North,North,LOC,0.03855556,0.65644444,en,12.50000000,,12110879,L,42.74936000,-96.39971000,NORTH-AMERICA,United States,CNA
Molise,Molise,GPE,-0.18610791,0.45921339,en,12.40000000,4101127-2,3173222,A,41.66667000,14.50000000,EUROPE-AFRICA,Italy,MED
Basilicata,Basilicata,GPE,-0.31250000,0.67782738,en,11.20000000,4004627-8,3182306,A,40.50410000,16.11396000,EUROPE-AFRICA,Italy,MED
Mediterranean,Mediterranean,LOC,0.03200379,0.59692929,en,10.00000000,,0,,,,,,
Atlantic,Atlantic,LOC,0.10366353,0.83750638,en,9.90000000,,12110846,L,40.58629000,-76.28807000,NORTH-AMERICA,United States,ENA
Rome,Rome,GPE,-0.07286785,0.48047485,en,9.70000000,4050471-2,3169070,P,41.89193000,12.51133000,EUROPE-AFRICA,Italy,MED
Lombardy,Lombardy,GPE,0.20746871,0.42584816,en,9.20000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Alps,Alps,GPE,-0.13456089,0.52628367,en,9.00000000,,0,,,,,,
Turin,Turin,GPE,0.16017316,0.52886003,en,8.80000000,4061245-4,3165524,P,45.07049000,7.68682000,EUROPE,Italy,WCE
Tuscany,Tuscany,GPE,0.21310606,0.66840909,en,8.00000000,4017581-9,3176959,P,43.77925000,11.24626000,EUROPE-AFRICA,Italy,MED
Southern Italy,Southern Italy,LOC,-0.04380199,0.48505273,en,6.80000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Europe,Europe,LOC,0.07342780,0.73733438,en,6.60000000,,0,,,,,,
Arctic,Arctic,LOC,0.03527778,0.52444444,en,6.00000000,,0,,,,,,
Campania,Campania,GPE,-0.12638889,0.36770833,en,6.00000000,4041476-0,3172394,P,40.85216000,14.26811000,EUROPE-AFRICA,Italy,MED
Emilia-Romagna,Emilia-Romagna,GPE,-0.24936224,0.43847789,en,5.60000000,4014571-2,3169068,L,44.50000000,12.25000000,EUROPE-AFRICA,Italy,MED
Liguria,Liguria,GPE,-0.06550325,0.46350108,en,5.60000000,4035719-3,3174725,A,44.50000000,8.83333000,EUROPE-AFRICA,Italy,MED
Lazio,Lazio,GPE,-0.04291319,0.83077265,en,5.60000000,4050471-2,3169070,P,41.89193000,12.51133000,EUROPE-AFRICA,Italy,MED
Valle,Valle,GPE,-0.16346154,0.25641026,en,5.20000000,4094870-5,3687925,P,3.43054000,-76.51990000,SOUTH-AMERICA,Colombia,NWS
Niscemi,Niscemi,GPE,-0.20343137,0.60593682,en,5.10000000,4461093-2,2524006,P,37.14649000,14.39381000,EUROPE-AFRICA,Italy,MED
Marche,Marche,GPE,0.15852991,0.59790176,en,4.90000000,4383279-9,3170102,P,43.30491000,13.72068000,EUROPE-AFRICA,Italy,MED
Catania,Catania,GPE,-0.14567901,0.83703704,en,4.50000000,4085181-3,2525068,P,37.49223000,15.07041000,EUROPE-AFRICA,Italy,MED
