,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,21.400000000000002
tomorrow,tomorrow,DATE,,,en,19.999999999999993
winter,winter,DATE,,,en,19.300000000000004
Italian,Italian,NORP,,,en,16.900000000000006
two,two,CARDINAL,,,en,15.599999999999998
today,today,DATE,,,en,15.399999999999999
the weekend,the weekend,DATE,,,en,9.9
Christmas,Christmas,DATE,,,en,9.699999999999998
one,one,CARDINAL,,,en,8.5
2026,2026,CARDINAL,,,en,6.799999999999999
Tyrrhenian,Tyrrhenian,NORP,,,en,6.5
5,5,CARDINAL,,,en,6.3
Monday,Monday,DATE,,,en,6.299999999999999
the next few hours,the next few hours,TIME,,,en,5.8
recent days,recent days,DATE,,,en,5.699999999999999
the Centre-South,the Centre-South,FAC,-0.23597883597883593,1.225573192239859,en,5.3999999999999995
2025,2025,CARDINAL,,,en,5.1
yesterday,yesterday,DATE,,,en,4.8999999999999995
Saturday,Saturday,DATE,,,en,4.899999999999999
Winter,Winter,DATE,,,en,4.8
Sunday,Sunday,DATE,,,en,4.8
February,February,DATE,,,en,4.7
3,3,CARDINAL,,,en,4.3
European,European,NORP,,,en,4.1
zero,zero,CARDINAL,,,en,3.8
nine,nine,CARDINAL,,,en,3.8
second,second,ORDINAL,,,en,3.6999999999999993
First,First,ORDINAL,,,en,3.6
Olympics,Olympics,EVENT,,,en,3.5999999999999996
three,three,CARDINAL,,,en,3.5999999999999996
Friday,Friday,DATE,,,en,3.599999999999999
recent years,recent years,DATE,,,en,3.5
the World Cup,the World Cup,EVENT,,,en,3.5
a week,a week,DATE,,,en,3.499999999999999
Two,Two,CARDINAL,,,en,3.3999999999999995
Tomorrow,Tomorrow,DATE,,,en,3.3999999999999995
the evening,the evening,TIME,,,en,3.3
Ionian,Ionian,NORP,,,en,3.3
Russian,Russian,NORP,,,en,3.2
Italians,Italians,NORP,,,en,3.2
five,five,CARDINAL,,,en,3.1999999999999997
Today,Today,DATE,,,en,3.1999999999999997
this morning,this morning,TIME,,,en,3.0999999999999996
the night,the night,TIME,,,en,3.0999999999999996
Swiss,Swiss,NORP,,,en,3.0
the Centre-North,the Centre-North,FAC,-0.2166666666666665,3.408333333333333,en,3.0
10,10,CARDINAL,,,en,3.0
One,One,CARDINAL,,,en,2.8999999999999995
May 1st,May 1st,DATE,,,en,2.8
1,1,CARDINAL,,,en,2.8
days,days,DATE,,,en,2.8
Molise,Molise,FAC,-0.0203853046594982,0.10999103942652325,en,2.8
the Winter Olympics,the Winter Olympics,EVENT,,,en,2.7
two days,two days,DATE,,,en,2.7
