,phrase,label,sentiment,subjectivity,language,count
Apple,Apple,ORG,0.15851161995898835,2.0048444976076554,en,9.5
iLMeteo.it,iLMeteo.it,ORG,-0.08997252747252744,0.20146520146520142,en,5.2
the Civil Protection,the Civil Protection,ORG,0.04329004329004328,0.09469696969696968,en,4.800000000000001
the Council of Ministers,the Council of Ministers,ORG,-0.6592592592592591,0.7160493827160493,en,4.5
Cosenza,Cosenza,ORG,0.21707317073170726,0.39728997289972895,en,4.1000000000000005
The Council of Ministers,The Council of Ministers,ORG,0.0003654970760233966,0.2894736842105263,en,3.8
Niscemi,Niscemi,ORG,-0.2671568627450979,0.4272875816993463,en,3.4000000000000004
CDM,CDM,ORG,-0.5779569892473116,0.6093189964157707,en,3.0999999999999996
NASA,NASA,ORG,0.08035714285714286,0.5952380952380952,en,2.8
Anticyclone,Anticyclone,ORG,0.21794871794871798,0.15384615384615388,en,2.5999999999999996
iPhone,iPhone,ORG,0.18825757575757573,0.8884469696969697,en,2.5
AI,AI,ORG,-0.34363636363636363,1.1112121212121213,en,2.5
Inter,Inter,ORG,0.19041059950150857,0.4309982946346583,en,2.2
Spotify,Spotify,ORG,0.48394660894660896,1.0957792207792207,en,2.1
iOS,iOS,ORG,0.14912280701754385,0.5614035087719298,en,1.9000000000000001
Arpal,Arpal,ORG,-0.3888888888888888,0.0,en,1.8
Alfa,Alfa,ORG,0.15608465608465608,0.26256613756613756,en,1.8
Coldiretti,Coldiretti,ORG,-0.4191176470588235,0.23529411764705885,en,1.7
Cassano allo Ionio,Cassano allo Ionio,ORG,-0.13235294117647053,0.17156862745098037,en,1.7
Civil Protection,Civil Protection,ORG,0.0,0.11764705882352942,en,1.7
Catanzaro,Catanzaro,ORG,0.0,0.0,en,1.7
Catanzaro-Modena,Catanzaro-Modena,ORG,-0.20588235294117643,0.0,en,1.7
Ciciliano,Ciciliano,ORG,0.17647058823529413,0.05882352941176471,en,1.7
Government,Government,ORG,0.39215686274509803,0.3235294117647059,en,1.7
Heated Rivalry,Heated Rivalry,ORG,0.44786096256684493,0.26737967914438504,en,1.7
Google,Google,ORG,-0.12851731601731603,1.807224025974026,en,1.6
TuttoAndroid,TuttoAndroid,ORG,0.31534090909090906,0.42329545454545453,en,1.6
UI,UI,ORG,0.5624999999999999,0.5625,en,1.6
Samsung,Samsung,ORG,0.21117424242424238,0.8219696969696969,en,1.6
Serie A,Serie A,ORG,0.056581439393939385,0.47159090909090906,en,1.6
Google Home,Google Home,ORG,0.3125,0.390625,en,1.6
Senate,Senate,ORG,-0.03571428571428572,0.0,en,1.4
Natural Hazards and,Natural Hazards and,ORG,0.07692307692307693,0.15384615384615385,en,1.3
Siri,Siri,ORG,-0.2141192141192141,0.7172827172827172,en,1.3
hydrogeological,hydrogeological,ORG,0.057692307692307696,0.375,en,1.3
Portobello,Portobello,ORG,0.14102564102564102,0.0,en,1.3
Como,Como,ORG,-0.1282051282051282,0.0,en,1.3
Campi Flegrei,Campi Flegrei,ORG,0.20979020979020976,0.34965034965034963,en,1.3
Earth System Sciences,Earth System Sciences,ORG,0.07692307692307693,0.15384615384615385,en,1.3
the University of Milan,the University of Milan,ORG,0.07692307692307693,0.15384615384615385,en,1.3
the National Research Council,the National Research Council,ORG,0.07692307692307693,0.15384615384615385,en,1.3
ANSA,ANSA,ORG,0.0,0.05128205128205128,en,1.3
OpenAI,OpenAI,ORG,-0.09038461538461538,0.3362179487179487,en,1.3
App Tracking Transparency,App Tracking Transparency,ORG,0.0,0.3846153846153846,en,1.3
iOS 26.2.1,iOS 26.2.1,ORG,0.14685314685314682,0.303962703962704,en,1.3
Monte Isola,Monte Isola,ORG,0.05128205128205128,0.4334554334554334,en,1.3
Apple Glasses,Apple Glasses,ORG,0.4567307692307692,0.3365384615384615,en,1.3
Isola Santa,Isola Santa,ORG,0.0,0.0,en,1.3
Hinge,Hinge,ORG,0.1818181818181818,0.3076923076923077,en,1.3
Modena,Modena,ORG,0.5757575757575757,0.2727272727272727,en,1.1
iPhone Pocket,iPhone Pocket,ORG,0.0,0.11363636363636363,en,1.1
CISL Basilicata,CISL Basilicata,ORG,0.14444444444444443,0.0,en,1.0
Trump,Trump,ORG,0.0,0.0,en,1.0
Chianale,Chianale,ORG,0.25,0.0,en,1.0
Calenda,Calenda,ORG,0.0,0.0,en,1.0
"Serie B,","Serie B,",ORG,-0.1,0.0,en,1.0
Banzato,Banzato,ORG,0.0,0.0,en,1.0
Morelli,Morelli,ORG,0.0,0.0,en,1.0
Federalberghi,Federalberghi,ORG,0.0,0.0,en,1.0
Canneto Pave,Canneto Pave,ORG,0.0,0.0,en,1.0
Hydrogeological,Hydrogeological,ORG,0.0,0.0,en,1.0
Lens,Lens,ORG,-0.1875,0.0,en,1.0
"Olympics, Bracco Foundation","Olympics, Bracco Foundation",ORG,0.0,0.0,en,1.0
Verona,Verona,ORG,0.0,0.0,en,1.0
the Pavia Observatory,the Pavia Observatory,ORG,0.0,0.0,en,1.0
the Milan Cortina Games,the Milan Cortina Games,ORG,0.0,0.0,en,1.0
"the ""Land of Eagles","the ""Land of Eagles",ORG,0.0,0.0,en,1.0
Frane,Frane,ORG,0.0,0.0,en,1.0
Flakes,Flakes,ORG,0.0,0.0,en,1.0
Pnrr,Pnrr,ORG,-0.2,0.0,en,1.0
the White House,the White House,ORG,-0.25,0.0,en,1.0
Musumeci,Musumeci,ORG,0.0,0.0,en,1.0
The Information,The Information,ORG,-0.2409090909090909,0.0,en,1.0
Bloomberg,Bloomberg,ORG,0.0,0.0,en,1.0
Enel,Enel,ORG,0.0,0.0,en,1.0
Southern Italy,Southern Italy,ORG,0.015555555555555581,0.0,en,1.0
the Sardinia Channel,the Sardinia Channel,ORG,0.25,0.0,en,1.0
Foroglio,Foroglio,ORG,0.8,0.0,en,1.0
iLMeteo,iLMeteo,ORG,0.0,0.0,en,1.0
Cimone,Cimone,ORG,0.3,0.0,en,1.0
Conte,Conte,ORG,0.0,0.0,en,1.0
Corno alle Scale,Corno alle Scale,ORG,0.3,0.0,en,1.0
Avs,Avs,ORG,0.0,0.0,en,1.0
Capoterra,Capoterra,ORG,-0.6999999999999998,0.0,en,1.0
the Minister for Civil Protection and Marine Policies,the Minister for Civil Protection and Marine Policies,ORG,0.3333333333333333,0.0,en,1.0
Coasts,Coasts,ORG,0.0,0.0,en,1.0
Milan-Cortina,Milan-Cortina,ORG,0.10000000000000005,0.0,en,1.0
Demoskopika,Demoskopika,ORG,0.0,0.0,en,1.0
Valditara,Valditara,ORG,0.0,0.0,en,1.0
Referendum,Referendum,ORG,0.0,0.0,en,1.0
Campo Imperatore,Campo Imperatore,ORG,0.15,0.0,en,1.0
Superintendency,Superintendency,ORG,0.0,0.0,en,1.0
Il Fatto.it,Il Fatto.it,ORG,0.0,0.0,en,1.0
Ultra,Ultra,ORG,0.6,0.0,en,1.0
