,phrase,label,sentiment,subjectivity,language,count
Cyclone Harry,Cyclone Harry,PERSON,0.09990219092331772,0.6832550860719874,en,7.1000000000000005
Alessandro Gilioli,Alessandro Gilioli,PERSON,0.0,0.0,en,1.9
Mel Crotonese,Mel Crotonese,PERSON,0.0,0.0,en,1.7
Massa Martana,Massa Martana,PERSON,0.0457516339869281,0.21568627450980393,en,1.7
Craig Federighi,Craig Federighi,PERSON,-0.6136363636363636,1.0482954545454544,en,1.6
John Ternus,John Ternus,PERSON,0.04261363636363636,0.45454545454545453,en,1.6
John Giannandrea,John Giannandrea,PERSON,-0.14583333333333331,0.6770833333333334,en,1.6
Katherine Adams,Katherine Adams,PERSON,0.18229166666666666,0.625,en,1.6
Federico Brescia,Federico Brescia,PERSON,0.17857142857142858,0.293040293040293,en,1.3
Tim Cook,Tim Cook,PERSON,0.05244755244755244,0.5594405594405595,en,1.3
Sam Altman,Sam Altman,PERSON,-0.09038461538461538,0.3362179487179487,en,1.3
Tony Dallara,Tony Dallara,PERSON,0.1923076923076923,0.2564102564102564,en,1.3
Google Gemini,Google Gemini,PERSON,-0.032301032301032304,0.7592407592407592,en,1.3
Lorenzo Tedici,Lorenzo Tedici,PERSON,0.0,0.0,en,1.2
Alì Terme,Alì Terme,PERSON,0.0,0.0,en,1.0
Il Messaggero,Il Messaggero,PERSON,0.0,0.0,en,1.0
Mattia Gussoni,Mattia Gussoni,PERSON,0.0,0.0,en,1.0
Dalia Gubbay,Dalia Gubbay,PERSON,0.0,0.1,en,1.0
the Calanchi di Piana,the Calanchi di Piana,PERSON,0.0,0.0,en,1.0
Carlo Nesti,Carlo Nesti,PERSON,0.0,0.0,en,1.0
PIERO ANGEL,PIERO ANGEL,PERSON,0.5333333333333333,0.6166666666666667,en,1.0
Chison Valleys,Chison Valleys,PERSON,0.025,0.19999999999999998,en,1.0
Wang et al,Wang et al,PERSON,0.0,0.0,en,1.0
Alagna Valsesia,Alagna Valsesia,PERSON,0.2,0.2,en,1.0
A19 Pro,A19 Pro,PERSON,0.6000000000000001,1.25,en,1.0
Timothée Chalamet,Timothée Chalamet,PERSON,0.1,0.25,en,1.0
Milan Cortina -1,Milan Cortina -1,PERSON,0.0,0.0,en,1.0
del Clitunno,del Clitunno,PERSON,-0.2,0.3,en,1.0
Christian Manfredini,Christian Manfredini,PERSON,0.0,0.0,en,1.0
San Giuliano,San Giuliano,PERSON,0.0,0.30000000000000004,en,1.0
The Val di Fu,The Val di Fu,PERSON,0.0,0.0,en,1.0
Vincenzo Cosenza,Vincenzo Cosenza,PERSON,0.011111111111111112,0.2722222222222222,en,1.0
post-Tim Cook,post-Tim Cook,PERSON,0.0,0.0,en,1.0
Daniele Vicari,Daniele Vicari,PERSON,0.4681818181818182,0.6022727272727273,en,1.0
Alessandro Borghi,Alessandro Borghi,PERSON,0.4681818181818182,0.6022727272727273,en,1.0
Walter Bonatti,Walter Bonatti,PERSON,0.4681818181818182,0.6022727272727273,en,1.0
​​Alta Val Venosta,​​Alta Val Venosta,PERSON,0.4681818181818182,0.6022727272727273,en,1.0
Caterina Balivo,Caterina Balivo,PERSON,0.19318181818181818,0.675,en,1.0
New hydrogeological,New hydrogeological,PERSON,0.13636363636363635,0.45454545454545453,en,1.0
Milan Cortina,Milan Cortina,PERSON,0.0,0.0,en,1.0
Clair Obscur Expedition 33,Clair Obscur Expedition 33,PERSON,0.0,0.0,en,1.0
Donald Trump,Donald Trump,PERSON,-0.02121212121212122,0.28484848484848485,en,1.0
Licia Colò,Licia Colò,PERSON,-0.575,0.65,en,1.0
Volodymyr Zelensky,Volodymyr Zelensky,PERSON,-0.02121212121212122,0.28484848484848485,en,1.0
Henri Matisse,Henri Matisse,PERSON,-0.2,0.3,en,1.0
Edgar Degas,Edgar Degas,PERSON,-0.2,0.3,en,1.0
Pierre-Auguste Renoir,Pierre-Auguste Renoir,PERSON,-0.2,0.3,en,1.0
Vincent Van Gogh,Vincent Van Gogh,PERSON,-0.2,0.3,en,1.0
Paul Cézanne,Paul Cézanne,PERSON,-0.2,0.3,en,1.0
Amar Subramanya,Amar Subramanya,PERSON,0.21212121212121213,0.40151515151515155,en,1.0
Cristian Chivu,Cristian Chivu,PERSON,0.22727272727272727,0.5454545454545454,en,1.0
Appiano Gentile,Appiano Gentile,PERSON,0.10000000000000002,0.3833333333333333,en,1.0
Stella Pende,Stella Pende,PERSON,0.0,0.0,en,1.0
Charlotte De Bruyne,Charlotte De Bruyne,PERSON,-0.16666666666666666,0.1416666666666667,en,1.0
Rosa Marchant,Rosa Marchant,PERSON,-0.16666666666666666,0.1416666666666667,en,1.0
Ornella Vanoni,Ornella Vanoni,PERSON,0.0,0.0,en,1.0
Andrea Stöllner,Andrea Stöllner,PERSON,0.0,0.0,en,1.0
Niklas Pyyhtia,Niklas Pyyhtia,PERSON,0.2,0.3,en,1.0
Arturo Brachetti,Arturo Brachetti,PERSON,0.0,0.0,en,1.0
Kiro Pro+,Kiro Pro+,PERSON,0.4,0.8,en,1.0
Nicola Pietrangeli,Nicola Pietrangeli,PERSON,0.0,0.688888888888889,en,1.0
Lisa Jackson,Lisa Jackson,PERSON,0.0,0.0,en,1.0
Antonio Angelucci,Antonio Angelucci,PERSON,0.0,0.0,en,1.0
Moira Orfei,Moira Orfei,PERSON,0.0,0.0,en,1.0
Emmanuelle Girard,Emmanuelle Girard,PERSON,0.15,0.3055555555555556,en,1.0
Narges Mohammadi,Narges Mohammadi,PERSON,-0.0875,0.1875,en,1.0
Mohamed Shahin,Mohamed Shahin,PERSON,0.0,0.0,en,1.0
Il Fatto Quotidiano,Il Fatto Quotidiano,PERSON,0.0,0.0,en,1.0
Kinetic US,Kinetic US,PERSON,0.26666666666666666,0.6333333333333333,en,1.0
Riccardo Pecini,Riccardo Pecini,PERSON,0.0,0.0625,en,1.0
Rio Ferdinand,Rio Ferdinand,PERSON,0.0,0.0,en,1.0
Arianna Meloni,Arianna Meloni,PERSON,0.06818181818181818,0.2772727272727273,en,1.0
Gian Piero Gasperini,Gian Piero Gasperini,PERSON,0.85,1.0,en,1.0
Christopher Kay,Christopher Kay,PERSON,0.0,0.0,en,1.0
